rspm,no2,so2,rainfall,humidity,temperature,year,quarter,No of districts,Locations
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2025,2,1,['HIMACHALPRADESH_UNA']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2025,4,1,['PUNJAB_GURDASPUR']
rspm_satisfactory,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2004,1,2,['HARYANA_YAMUNANAGAR' 'UTTARPRADESH_MORADABAD']
rspm_satisfactory,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2004,4,2,['HARYANA_YAMUNANAGAR' 'UTTARPRADESH_MORADABAD']
rspm_satisfactory,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2005,1,1,['UTTARPRADESH_MORADABAD']
rspm_satisfactory,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2006,1,1,['UTTARPRADESH_MORADABAD']
rspm_satisfactory,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2006,4,1,['UTTARPRADESH_MORADABAD']
rspm_satisfactory,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2007,1,1,['UTTARPRADESH_MORADABAD']
rspm_satisfactory,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2007,4,1,['UTTARPRADESH_MORADABAD']
rspm_satisfactory,no2_potential,so2_safe,rainfall_low,humidity_low,temperature_low,2004,1,1,['BIHAR_PATNA']
rspm_satisfactory,no2_potential,so2_safe,rainfall_low,humidity_low,temperature_low,2006,4,1,['PUNJAB_RUPNAGAR']
rspm_satisfactory,no2_potential,so2_safe,rainfall_low,humidity_low,temperature_low,2007,1,1,['PUNJAB_RUPNAGAR']
rspm_satisfactory,no2_potential,so2_safe,rainfall_low,humidity_low,temperature_low,2007,4,2,['HARYANA_YAMUNANAGAR' 'UTTARAKHAND_DEHRADUN']
rspm_satisfactory,no2_potential,so2_safe,rainfall_low,humidity_low,temperature_low,2011,1,1,['UTTARPRADESH_GORAKHPUR']
rspm_satisfactory,no2_potential,so2_safe,rainfall_low,humidity_low,temperature_low,2024,1,2,['PUNJAB_RUPNAGAR' 'UTTARPRADESH_UNNAO']
rspm_satisfactory,no2_potential,so2_safe,rainfall_low,humidity_low,temperature_low,2024,4,1,['PUNJAB_RUPNAGAR']
rspm_satisfactory,no2_potential,so2_safe,rainfall_low,humidity_low,temperature_low,2025,1,1,['PUNJAB_RUPNAGAR']
rspm_satisfactory,no2_potential,so2_safe,rainfall_low,humidity_low,temperature_low,2025,4,1,['PUNJAB_RUPNAGAR']
rspm_satisfactory,no2_potential,so2_potential,rainfall_low,humidity_low,temperature_low,2005,4,1,['UTTARPRADESH_GAUTAMBUDDHNAGAR']
